step,loss
0,2.750000
1,2.890600
2,2.281200
3,2.718800
4,2.906200
5,2.765600
6,2.187500
7,2.703100
8,2.265600
9,2.203100
10,2.359400
11,2.640600
12,2.328100
13,2.734400
14,2.484400
15,2.078100
16,2.296900
17,2.062500
18,1.812500
19,2.125000
20,1.867200
21,1.656200
22,1.859400
23,2.062500
24,2.171900
25,1.585900
26,1.601600
27,1.710900
28,1.421900
29,2.015600
30,1.625000
31,1.671900
32,1.664100
33,1.585900
34,1.562500
35,1.859400
36,1.601600
37,1.460900
38,1.398400
39,1.421900
40,1.546900
41,1.507800
42,1.570300
43,1.500000
44,1.445300
45,1.437500
46,1.375000
47,1.242200
48,1.468800
49,1.320300
50,1.351600
51,1.203100
52,1.234400
53,1.312500
54,1.265600
55,1.390600
56,1.406200
57,1.531200
58,1.242200
59,1.289100
60,1.492200
61,1.562500
62,1.312500
63,1.343800
64,1.226600
65,1.578100
66,1.132800
67,1.250000
68,1.148400
69,1.187500
70,1.070300
71,1.085900
72,1.359400
73,1.117200
74,0.968800
75,1.195300
76,1.242200
77,1.398400
78,1.156200
79,0.996100
80,1.007800
81,1.031200
82,1.109400
83,1.039100
84,1.210900
85,1.453100
86,1.101600
87,1.054700
88,1.070300
89,0.960900
90,1.023400
91,1.148400
92,1.164100
93,0.953100
94,0.984400
95,0.984400
96,1.132800
97,0.949200
98,0.933600
99,1.046900
100,1.250000
101,1.289100
102,0.882800
103,0.835900
104,1.171900
105,1.085900
106,1.242200
107,0.914100
108,1.007800
109,0.863300
110,1.218800
111,1.351600
112,0.976600
113,0.824200
114,1.000000
115,0.953100
116,0.988300
117,1.078100
118,1.125000
119,0.953100
120,0.808600
121,0.964800
122,1.039100
123,0.980500
124,0.785200
125,0.824200
126,0.957000
127,0.781200
128,0.800800
129,1.164100
130,0.976600
131,0.800800
132,0.960900
133,0.960900
134,0.964800
135,0.957000
136,0.925800
137,0.785200
138,0.945300
139,0.800800
140,0.789100
141,0.773400
142,0.964800
143,0.765600
144,1.070300
145,0.890600
146,0.718800
147,0.964800
148,0.886700
149,0.730500
150,0.867200
151,0.937500
152,0.726600
153,0.750000
154,0.785200
155,0.859400
156,0.941400
157,0.835900
158,0.746100
159,0.789100
160,0.890600
161,0.828100
162,0.933600
163,0.703100
164,0.953100
165,0.699200
166,1.000000
167,1.007800
168,0.789100
169,0.625000
170,0.644500
171,0.750000
172,0.679700
173,0.878900
174,0.675800
175,0.601600
176,0.847700
177,0.808600
178,0.839800
179,0.675800
180,0.722700
181,0.839800
182,0.660200
183,0.828100
184,0.625000
185,1.156200
186,0.808600
187,1.187500
188,0.730500
189,1.007800
190,0.632800
191,0.703100
192,0.593800
193,0.605500
194,0.921900
195,0.718800
196,0.753900
197,0.742200
198,1.117200
199,0.820300
200,0.644500
201,0.593800
202,0.613300
203,0.660200
204,0.906200
205,0.793000
206,0.718800
207,0.843800
208,0.820300
209,0.648400
210,0.644500
211,0.793000
212,0.835900
213,0.660200
214,0.925800
215,0.601600
216,0.617200
217,0.835900
218,0.695300
219,0.699200
220,0.585900
221,0.710900
222,0.648400
223,0.695300
224,0.675800
225,0.757800
226,0.832000
227,0.660200
228,0.566400
229,0.761700
230,0.812500
231,0.972700
232,0.859400
233,0.753900
234,0.742200
235,0.640600
236,0.988300
237,0.734400
238,0.574200
239,0.660200
240,0.628900
241,0.675800
242,0.765600
243,0.671900
244,0.812500
245,0.765600
246,0.617200
247,0.839800
248,0.644500
249,0.750000
250,0.679700
251,0.605500
252,0.832000
253,0.617200
254,0.562500
255,0.687500
256,0.890600
257,0.714800
258,0.546900
259,0.656200
260,0.812500
261,0.746100
262,0.578100
263,0.640600
264,0.812500
265,0.644500
266,0.621100
267,0.597700
268,0.738300
269,0.582000
270,0.554700
271,0.957000
272,0.828100
273,0.761700
274,0.664100
275,0.593800
276,0.679700
277,0.652300
278,0.648400
279,0.730500
280,0.605500
281,0.660200
282,0.718800
283,0.812500
284,0.687500
285,0.781200
286,0.574200
287,0.585900
288,0.668000
289,0.734400
290,0.625000
291,0.574200
292,0.585900
293,0.605500
294,0.753900
295,1.046900
296,0.757800
297,0.777300
298,0.695300
299,0.628900
300,0.578100
301,0.668000
302,0.984400
303,0.683600
304,0.621100
305,0.550800
306,0.554700
307,0.730500
308,0.558600
309,1.070300
310,0.941400
311,0.613300
312,0.562500
313,0.589800
314,0.601600
315,0.761700
316,0.566400
317,0.828100
318,0.632800
319,0.609400
320,0.882800
321,0.738300
322,0.601600
323,0.957000
324,1.023400
325,0.582000
326,0.589800
327,0.890600
328,0.601600
329,0.668000
330,0.621100
331,0.687500
332,0.609400
333,0.687500
334,0.550800
335,0.746100
336,0.605500
337,0.597700
338,0.609400
339,0.777300
340,0.597700
341,0.769500
342,0.753900
343,0.601600
344,0.843800
345,0.718800
346,0.683600
347,0.738300
348,0.558600
349,0.613300
350,0.691400
351,0.660200
352,0.656200
353,0.765600
354,0.574200
355,0.679700
356,0.765600
357,0.644500
358,0.601600
359,0.793000
360,0.589800
361,0.765600
362,0.769500
363,0.582000
364,0.585900
365,0.714800
366,0.695300
367,0.644500
368,0.808600
369,0.644500
370,0.644500
371,0.570300
372,0.851600
373,0.808600
374,0.660200
375,0.609400
376,0.789100
377,0.578100
378,0.578100
379,0.585900
380,0.578100
381,0.668000
382,0.957000
383,0.558600
384,0.550800
385,0.722700
386,0.718800
387,0.578100
388,0.656200
389,0.585900
